"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4168942,"10","Spadina-Fort York",1984,"SOCIAL HOUSING",8,200,87,2
5228921,"09","Davenport",2021,"PRIVATE",13,152,99,1
5228929,"09","Davenport",2021,"PRIVATE",10,198,100,1
4153156,"09","Davenport",1967,"SOCIAL HOUSING",13,112,82,2
4153160,"09","Davenport",1971,"PRIVATE",15,113,93,1
4155063,"09","Davenport",1950,"PRIVATE",3,12,77,1
4155069,"09","Davenport",1959,"PRIVATE",4,28,64,1
4155068,"09","Davenport",1959,"PRIVATE",4,18,68,1
4155026,"12","Toronto-St. Paul's",1997,"SOCIAL HOUSING",16,144,75,2
4153577,"14","Toronto-Danforth",1992,"SOCIAL HOUSING",4,41,78,2
5361399,"14","Toronto-Danforth",1920,"PRIVATE",3,11,81,1
4153604,"14","Toronto-Danforth",1929,"PRIVATE",4,48,94,1
5365973,"14","Toronto-Danforth",1922,"PRIVATE",3,13,90,1
4153609,"14","Toronto-Danforth",1910,"PRIVATE",3,10,83,1
4153607,"14","Toronto-Danforth",1968,"PRIVATE",24,291,96,1
4153608,"14","Toronto-Danforth",1972,"TCHC",8,69,97,3
4153614,"14","Toronto-Danforth",1929,"PRIVATE",3,39,82,1
4153613,"14","Toronto-Danforth",1950,"PRIVATE",3,24,88,1
4261240,"14","Toronto-Danforth",1950,"PRIVATE",3,24,80,1
4153612,"14","Toronto-Danforth",1950,"PRIVATE",3,31,95,1
4153619,"14","Toronto-Danforth",1940,"PRIVATE",3,23,93,1
4153616,"14","Toronto-Danforth",1940,"PRIVATE",4,32,89,1
4153618,"14","Toronto-Danforth",1960,"PRIVATE",4,21,91,1
4153617,"14","Toronto-Danforth",1955,"PRIVATE",4,23,99,1
5405655,"14","Toronto-Danforth",2004,"PRIVATE",3,15,78,1
4154139,"14","Toronto-Danforth",1969,"PRIVATE",18,110,99,1
4154140,"14","Toronto-Danforth",1971,"PRIVATE",20,109,94,1
4154107,"14","Toronto-Danforth",1973,"PRIVATE",4,41,95,1
4154132,"14","Toronto-Danforth",1970,"PRIVATE",12,134,99,1
4154137,"14","Toronto-Danforth",1955,"PRIVATE",4,38,98,1
4155680,"12","Toronto-St. Paul's",1930,"PRIVATE",4,36,84,1
4153825,"12","Toronto-St. Paul's",1963,"PRIVATE",10,205,89,1
4153819,"12","Toronto-St. Paul's",1954,"TCHC",4,52,87,3
5156008,"09","Davenport",1885,"PRIVATE",3,11,93,1
4156573,"12","Toronto-St. Paul's",1964,"PRIVATE",19,185,93,1
4153785,"12","Toronto-St. Paul's",1964,"PRIVATE",15,121,85,1
4153185,"11","University-Rosedale",1960,"PRIVATE",9,63,81,1
5367995,"11","University-Rosedale",1888,"PRIVATE",3,13,64,1
4155073,"09","Davenport",1970,"PRIVATE",3,20,81,1
4155072,"09","Davenport",1960,"PRIVATE",4,28,85,1
4155074,"09","Davenport",1968,"PRIVATE",4,24,60,1
4166942,"14","Toronto-Danforth",1967,"PRIVATE",21,275,94,1
4166944,"14","Toronto-Danforth",1967,"PRIVATE",21,275,96,1
4153652,"14","Toronto-Danforth",1922,"PRIVATE",4,31,90,1
4257261,"13","Toronto Centre",1979,"PRIVATE",16,216,85,1
4153480,"13","Toronto Centre",1994,"SOCIAL HOUSING",12,154,91,2
4156547,"13","Toronto Centre",2010,"TCHC",12,110,94,3
4153477,"13","Toronto Centre",1927,"PRIVATE",3,35,83,1
4153476,"13","Toronto Centre",1973,"PRIVATE",23,375,82,1
4153474,"13","Toronto Centre",1960,"PRIVATE",11,92,92,1
4153473,"13","Toronto Centre",1988,"SOCIAL HOUSING",4,25,90,2
4153735,"11","University-Rosedale",1950,"PRIVATE",4,53,99,1
4245676,"12","Toronto-St. Paul's",1967,"PRIVATE",8,74,94,1
4153551,"11","University-Rosedale",1915,"PRIVATE",3,21,77,1
5015812,"11","University-Rosedale",1972,"PRIVATE",51,793,90,1
4153517,"11","University-Rosedale",1981,"PRIVATE",32,147,88,1
4153516,"11","University-Rosedale",1977,"PRIVATE",21,250,96,1
4156154,"10","Spadina-Fort York",1987,"TCHC",15,144,86,3
4153182,"11","University-Rosedale",1965,"PRIVATE",4,15,90,1
4155595,"10","Spadina-Fort York",1996,"TCHC",13,115,83,3
4153423,"13","Toronto Centre",2005,"PRIVATE",28,388,97,1
4155872,"13","Toronto Centre",1910,"PRIVATE",3,12,97,1
4153534,"13","Toronto Centre",1910,"PRIVATE",4,35,97,1
4153144,"10","Spadina-Fort York",1994,"SOCIAL HOUSING",3,18,57,2
4153373,"12","Toronto-St. Paul's",1929,"PRIVATE",4,49,100,1
4154942,"12","Toronto-St. Paul's",1955,"PRIVATE",3,19,86,1
4154941,"12","Toronto-St. Paul's",1937,"PRIVATE",3,18,85,1
4153157,"11","University-Rosedale",1989,"TCHC",7,157,92,3
4155728,"11","University-Rosedale",1970,"PRIVATE",3,12,57,1
4155753,"11","University-Rosedale",1992,"PRIVATE",3,17,96,1
4153994,"12","Toronto-St. Paul's",1935,"PRIVATE",6,40,86,1
5241001,"11","University-Rosedale",2022,"PRIVATE",9,61,99,1
4153150,"11","University-Rosedale",1912,"PRIVATE",3,32,88,1
4153151,"11","University-Rosedale",1929,"PRIVATE",4,72,84,1
4153159,"09","Davenport",1930,"PRIVATE",3,43,79,1
4221299,"09","Davenport",1950,"PRIVATE",3,19,78,1
4156287,"12","Toronto-St. Paul's",1930,"PRIVATE",3,15,85,1
4288472,"13","Toronto Centre",2016,"SOCIAL HOUSING",12,145,98,2
4253901,"14","Toronto-Danforth",1963,"PRIVATE",3,30,94,1
4154111,"14","Toronto-Danforth",1962,"PRIVATE",22,129,97,1
4154131,"14","Toronto-Danforth",1965,"PRIVATE",5,26,92,1
4154130,"14","Toronto-Danforth",1965,"PRIVATE",12,173,97,1
4154112,"14","Toronto-Danforth",1973,"PRIVATE",12,155,91,1
4154113,"14","Toronto-Danforth",1968,"PRIVATE",12,118,93,1
4154129,"14","Toronto-Danforth",1970,"PRIVATE",15,84,98,1
4154114,"14","Toronto-Danforth",1986,"PRIVATE",11,86,81,1
4154128,"14","Toronto-Danforth",1961,"PRIVATE",7,140,98,1
4154115,"14","Toronto-Danforth",1960,"PRIVATE",10,73,95,1
4883232,"14","Toronto-Danforth",1955,"PRIVATE",3,36,94,1
